type_name,description,enabled
Betel Chewing,Chewing betel leaves with or without tobacco,1
Nail Biting,Habitual nail biting (onychophagia),1
Lip Biting,Habitual lip biting,1
Thumb Sucking,Thumb sucking habit,1
Tongue Thrusting,Pushing tongue against teeth,1
Teeth Grinding (Bruxism),Grinding or clenching teeth,1
Mouth Breathing,Breathing primarily through mouth,1
Pen/Pencil Chewing,Chewing on pens or pencils,1
Ice Chewing,Chewing on ice cubes (pagophagia),1
Cheek Biting,Habitual cheek biting,1
Gum Chewing,Excessive gum chewing,1
Tobacco Chewing,Chewing tobacco products,1
Hair Pulling (Trichotillomania),Compulsive hair pulling,1
Lip Licking,Excessive lip licking,1
Other,Other oral habits,1
