type_name,description,enabled
Betel-Quid,Traditional chewing mixture with betel nut,1
Dentobac,Dental tobacco product,1
Gul,Powdered tobacco for oral use,1
Gutka,Sweetened chewing tobacco mixture,1
Khaini,Tobacco and slaked lime mixture,1
Laldantmanjan,Red tooth powder containing tobacco,1
Mism,Smokeless tobacco product,1
Naswa,Nasal snuff tobacco,1
Pan Masala,Betel leaf mixture with tobacco,1
Snuff,Finely ground tobacco for sniffing,1
Tubir,Traditional smokeless tobacco,1
Zarda,Colored chewing tobacco,1
Others,Other smokeless tobacco products,1

