type_name,category,description,enabled
Alcohol,Alcohol,Alcoholic beverages,1
Stimulants (Cocaine and Methamphetamine),Stimulants,Cocaine and methamphetamine drugs,1
Cannabis (Marijuana),Cannabis,Cannabis/Marijuana products,1
Inhalants (Solvents Aerosol Sprays Nitrites Gases),Inhalants,Volatile substances inhaled for intoxication,1
LSD,Hallucinogens,Lysergic acid diethylamide,1
Mescaline,Hallucinogens,Hallucinogenic alkaloid from peyote cactus,1
PCP,Hallucinogens,Phencyclidine,1
DMT,Hallucinogens,Dimethyltryptamine,1
Ketamine,Club Drugs,Dissociative anesthetic,1
Ecstasy,Club Drugs,MDMA/Methylenedioxymethamphetamine,1
GHB,Club Drugs,Gamma-hydroxybutyrate,1
Flunitrazepam,Club Drugs,Rohypnol,1
Heroin,Opioids,Highly addictive opioid,1
Oxycodone,Opioids,Prescription opioid painkiller,1
Codeine,Opioids,Opioid medication,1
Morphine,Opioids,Opioid pain medication,1
Other Prescription Painkillers,Opioids,Various prescription opioids,1
Prescription Drugs and Cold Medicines (Cough Syrups with Dextromethorphan),Prescription Drugs,Over-the-counter cough medicine abuse,1
Sedatives Anti-anxiety Drugs and Hypnotics,Sedatives,Benzodiazepines and sleep medications,1
Anabolic Steroids,Anabolic Steroids,Synthetic testosterone derivatives,1
Synthetic Cathinone (Bath Salts),Synthetic Drugs,Synthetic cathinones,1
Nicotine (from Tobacco or E-cigarette/Vaping Sources),Other,Nicotine addiction from various sources,1
Others,Other,Other substance abuse,1
