diagnosis_code,ChronicOrAcute,is_chronic,clinical_category,diagnosis_name,common_name,synonyms,icd11_code,icd11_uri,department,department-ignore,severity,default_follow_up_days,billing_code,status,default_treatment_template,is_reportable,notifiable,is_photo_medicine_eligible
DIAG-0001,Acute,No,Gastrointestinal,Cholera,Cholera,Cholera,1A00,https://id.who.int/icd/entity/1A00,General Medicine,Gastroenterology,Mild,7,BL-00001,Approved,TT-0001,Yes,Yes,No
DIAG-0002,Acute,No,Gastrointestinal,Typhoid fever,Typhoid fever,"Typhoid fever, Typhoid",1A04,https://id.who.int/icd/entity/1A04,General Medicine,General Medicine,Mild,7,BL-00002,Approved,TT-0002,Yes,Yes,No
DIAG-0003,Acute,No,Medical Disease,Dengue,Dengue,Dengue,1B10,https://id.who.int/icd/entity/1B10,General Medicine,General Medicine,Mild,7,BL-00003,Approved,TT-0003,Yes,Yes,No
DIAG-0004,Acute,No,Medical Disease,COVID-19,COVID-19,COVID-19,1C62,https://id.who.int/icd/entity/1C62,General Medicine,General Medicine,Mild,7,BL-00004,Approved,TT-0004,Yes,Yes,No
DIAG-0005,Acute,No,Medical Disease,Influenza,Influenza,Influenza,1C10,https://id.who.int/icd/entity/1C10,General Medicine,General Medicine,Mild,7,BL-00005,Approved,TT-0005,No,No,No
DIAG-0006,Chronic,Yes,Respiratory,Pulmonary tuberculosis,Pulmonary tuberculosis,"Pulmonary tuberculosis, Pulmonary",1F40,https://id.who.int/icd/entity/1F40,General Medicine,General Medicine,Mild,7,BL-00006,Approved,TT-0006,Yes,Yes,No
DIAG-0007,Acute,No,Medical Disease,Malaria,Malaria,Malaria,1D47,https://id.who.int/icd/entity/1D47,General Medicine,General Medicine,Mild,7,BL-00007,Approved,TT-0007,No,No,No
DIAG-0008,Chronic,Yes,Endocrine/Metabolic,Type 2 diabetes mellitus,Type 2 diabetes mellitus,"Type 2 diabetes mellitus, Type",5A11,https://id.who.int/icd/entity/5A11,General Medicine,Endocrinology,Moderate,30,BL-00008,Approved,TT-0008,No,No,No
DIAG-0009,Chronic,Yes,Endocrine/Metabolic,Type 1 diabetes mellitus,Type 1 diabetes mellitus,"Type 1 diabetes mellitus, Type",5A10,https://id.who.int/icd/entity/5A10,General Medicine,Endocrinology,Moderate,30,BL-00009,Approved,TT-0009,No,No,No
DIAG-0010,Chronic,Yes,Endocrine/Metabolic,Hypothyroidism,Hypothyroidism,Hypothyroidism,5A40,https://id.who.int/icd/entity/5A40,General Medicine,Endocrinology,Mild,7,BL-00010,Approved,TT-0010,No,No,No
DIAG-0011,Chronic,Yes,Endocrine/Metabolic,Hyperthyroidism,Hyperthyroidism,Hyperthyroidism,5A41,https://id.who.int/icd/entity/5A41,General Medicine,Endocrinology,Mild,7,BL-00011,Approved,TT-0011,No,No,No
DIAG-0012,Chronic,Yes,Endocrine/Metabolic,Obesity,Obesity,Obesity,5B81,https://id.who.int/icd/entity/5B81,General Medicine,Endocrinology,Mild,30,BL-00012,Approved,TT-0012,No,No,No
DIAG-0013,Chronic,Yes,Cardiovascular,Essential hypertension,Essential hypertension,"Essential hypertension, Essential",BA80,https://id.who.int/icd/entity/BA80,General Medicine,Cardiology,Moderate,30,BL-00013,Approved,TT-0013,No,No,No
DIAG-0014,Chronic,Yes,Cardiovascular,Ischaemic heart disease,Ischaemic heart disease,"Ischaemic heart disease, Ischaemic",BA41,https://id.who.int/icd/entity/BA41,General Medicine,ENT,Moderate,7,BL-00014,Approved,TT-0014,No,No,No
DIAG-0015,Acute,No,Cardiovascular,Acute myocardial infarction,Acute myocardial infarction,"Acute myocardial infarction, Acute",BA40.0,https://id.who.int/icd/entity/BA40.0,General Medicine,Cardiology,Severe,7,BL-00015,Approved,TT-0015,No,No,No
DIAG-0016,Chronic,Yes,Neurology,Ischemic stroke,Ischemic stroke,"Ischemic stroke, Ischemic",BD10,https://id.who.int/icd/entity/BD10,General Medicine,Neurology,Severe,7,BL-00016,Approved,TT-0016,No,No,No
DIAG-0017,Chronic,Yes,Neurology,Hemorrhagic stroke,Hemorrhagic stroke,"Hemorrhagic stroke, Hemorrhagic",BD11,https://id.who.int/icd/entity/BD11,General Medicine,Neurology,Severe,7,BL-00017,Approved,TT-0017,No,No,No
DIAG-0018,Acute,No,Cardiovascular,Heart failure,Heart failure,"Heart failure, Heart",BD56,https://id.who.int/icd/entity/BD56,General Medicine,ENT,Moderate,7,BL-00018,Approved,TT-0018,No,No,No
DIAG-0019,Acute,No,Respiratory,Acute upper respiratory infection,Acute upper respiratory infection,"Acute upper respiratory infection, Acute",CA40,https://id.who.int/icd/entity/CA40,General Medicine,Respiratory,Severe,7,BL-00019,Approved,TT-0019,No,No,No
DIAG-0020,Acute,No,Respiratory,Community-acquired pneumonia,Community-acquired pneumonia,"Community-acquired pneumonia, Community-acquired",CA23,https://id.who.int/icd/entity/CA23,General Medicine,Respiratory,Mild,7,BL-00020,Approved,TT-0020,No,No,No
DIAG-0021,Chronic,Yes,Respiratory,Bronchitis,Bronchitis,Bronchitis,CA22,https://id.who.int/icd/entity/CA22,General Medicine,Respiratory,Mild,7,BL-00021,Approved,TT-0021,No,No,No
DIAG-0022,Chronic,Yes,Respiratory,Asthma,Asthma,Asthma,CA30,https://id.who.int/icd/entity/CA30,General Medicine,Respiratory,Mild,30,BL-00022,Approved,TT-0022,No,No,No
DIAG-0023,Chronic,Yes,Respiratory,COPD,COPD,COPD,CB24,https://id.who.int/icd/entity/CB24,General Medicine,Respiratory,Moderate,30,BL-00023,Approved,TT-0023,No,No,No
DIAG-0024,Acute,No,Gastrointestinal,Gastritis,Gastritis,Gastritis,DA42,,General Medicine,General Medicine,Severe,7,BL-00024,Approved,TT-0024,No,No,No
DIAG-0025,Chronic,Yes,Gastrointestinal,Peptic ulcer disease,Peptic ulcer disease,"Peptic ulcer disease, Peptic",,,General Medicine,General Medicine,Moderate,7,BL-00025,Approved,TT-0025,No,No,No
DIAG-0026,Acute,No,General Medicine,Gastroenteritis,Gastroenteritis,Gastroenteritis,,,General Medicine,General Medicine,Mild,7,BL-00026,Approved,TT-0026,No,No,No
DIAG-0027,Chronic,Yes,Gastrointestinal,Liver cirrhosis,Liver cirrhosis,"Liver cirrhosis, Liver",,,General Medicine,Gastroenterology,Mild,7,BL-00027,Approved,TT-0027,No,No,No
