Template Name,Medical Department,Link existing Item,Item,Is Billable,Description,Patient Care Type,Allow Stock Consumption,Sample,Item Group,HSN/SAC
Mucositis Management - Grade 1 - 2 Mucositis,Photo Medicine,1,PBM-201-1,1,"Description:

Indications: Grade 1 - 2 Mucositis
Frequency:   2-3 times a week
Repeat For:  4 weeks
# Sessions:  8 to 12",OPD,1,,PBM,999312
Mucositis Management - Grade 3 Mucositis,Photo Medicine,1,PBM-201-3,1,"Description:

Indications: Grade 3 Mucositis
Frequency:   2-3 times a week
Repeat For:  4 weeks
# Sessions:  8 to 12",OPD,1,,PBM,999312
Mucositis Management - Grade 4 Mucositis,Photo Medicine,1,PBM-201-4,1,"Description:

Indications: Grade 4 Mucositis
Frequency:   2-3 times a week
Repeat For:  4 weeks
# Sessions:  8 to 12",OPD,1,,PBM,999312
"Pain Relief in Oral Cancer - Acute Pain - Localized pain, small treatment area, shorter sessions",Photo Medicine,1,PBM-202-1S,1,"Description:

Indications: Localized pain, small treatment area, shorter sessions
Frequency:   daily
Repeat For:  1 week
# Sessions:  6",OPD,1,,PBM,999312
Pain Relief in Oral Cancer - Acute Pain - Localised pain with 2 sites,Photo Medicine,1,PBM-202-2S,1,"Description:

Indications: Localised pain with 2 sites
Frequency:   daily
Repeat For:  1 week
# Sessions:  6",OPD,1,,PBM,999312
"Pain Relief in Oral Cancer - Acute Pain - Widespread pain, multiple sites treated, longer session duration",Photo Medicine,1,PBM-202-MS,1,"Description:

Indications: Widespread pain, multiple sites treated, longer session duration
Frequency:   daily
Repeat For:  1 week
# Sessions:  6",OPD,1,,PBM,999312
"Pain Relief in Oral Cancer - Chronic Pain - Localized pain, small treatment area, shorter sessions",Photo Medicine,1,PBM-203-1S,1,"Description:

Indications: Localized pain, small treatment area, shorter sessions
Frequency:   2-3 times weekly
Alternate days recommended.
Repeat For:  4-6 weeks
# Sessions:  8 to 24",OPD,1,,PBM,999312
Pain Relief in Oral Cancer - Chronic Pain - Localised pain with 2 sites,Photo Medicine,1,PBM-203-2S,1,"Description:

Indications: Localised pain with 2 sites
Frequency:   2-3 times weekly
Alternate days recommended.
Repeat For:  4-6 weeks
# Sessions:  8 to 24",OPD,1,,PBM,999312
"Pain Relief in Oral Cancer - Chronic Pain - Widespread pain, multiple sites treated, longer session duration",Photo Medicine,1,PBM-203-MS,1,"Description:

Indications: Widespread pain, multiple sites treated, longer session duration
Frequency:   2-3 times weekly
Alternate days recommended.
Repeat For:  4-6 weeks
# Sessions:  8 to 24",OPD,1,,PBM,999312
"Post-Surgical Wound Healing - Simple surgical wounds, single application.",Photo Medicine,1,PBM-204-1,1,"Description:

Indications: Simple surgical wounds, single application.
Frequency:   daily
Repeat For:  1 week
# Sessions:  7",OPD,1,,PBM,999312
Post-Surgical Wound Healing - Large Wounds,Photo Medicine,1,PBM-203-2,1,"Description:

Indications: Large Wounds
Frequency:   daily
Repeat For:  1 week
# Sessions:  7",OPD,1,,PBM,999312
Post-Surgical Wound Healing - Complex Large Wounds,Photo Medicine,1,PBM-203-3,1,"Description:

Indications: Complex Large Wounds
Frequency:   daily
Repeat For:  1 week
# Sessions:  7",OPD,1,,PBM,999312
"Xerostomia Management - Mild dry mouth, minimal gland dysfunction.",Photo Medicine,1,PBM-204-1,1,"Description:

Indications: Mild dry mouth, minimal gland dysfunction.
Frequency:   Once a week
Repeat For:  2 weeks
# Sessions:  2",OPD,1,,PBM,999312
"Xerostomia Management - Moderate dry mouth, moderate gland dysfunction.",Photo Medicine,1,PBM-204-2,1,"Description:

Indications: Moderate dry mouth, moderate gland dysfunction.
Frequency:   Once a week
Repeat For:  4 weeks
# Sessions:  4",OPD,1,,PBM,999312
"Xerostomia Management - Severe xerostomia, multiple gland involvement, advanced stage.",Photo Medicine,1,PBM-204-3,1,"Description:

Indications: Severe xerostomia, multiple gland involvement, advanced stage.
Frequency:   Once a week
Repeat For:  6 weeks
# Sessions:  6",OPD,1,,PBM,999312
"Trismus SMF Management  - Grade 1 Early-stage trismus, mild muscle restriction.",Photo Medicine,1,PBM-205-1,1,"Description:

Indications: Grade 1 Early-stage trismus, mild muscle restriction.
Frequency:   2-3 times a week
Repeat For:  4 weeks
# Sessions:  8 to 12",OPD,1,,PBM,999312
Trismus SMF Management  - Grade 2 Moderate trismus,Photo Medicine,1,PBM-205-2,1,"Description:

Indications: Grade 2 Moderate trismus
Frequency:   2-3 times a week
Repeat For:  8 weeks
# Sessions:  16 to 24",OPD,1,,PBM,999312
"Trismus SMF Management  - Severe trismus, post-radiation fibrosis, requiring extended therapy.",Photo Medicine,1,PBM-205-3,1,"Description:

Indications: Severe trismus, post-radiation fibrosis, requiring extended therapy.
Frequency:   Daily for 4 weeks
Twice a week for 4 weeks
Repeat For:  8 weeks
# Sessions:  32",OPD,1,,PBM,999312
Neuropathy Management - Peripheral Neuropathy post Chemotherapy - 1 site,Photo Medicine,1,PBM-206-1S,1,"Description:

Indications: 1 site
Frequency:   Once a week
Repeat For:  2-4 weeks
# Sessions:  2 to 4",OPD,1,,PBM,999312
Neuropathy Management - Peripheral Neuropathy post Chemotherapy - 2 site,Photo Medicine,1,PBM-206-2S,1,"Description:

Indications: 2 site
Frequency:   Once a week
Repeat For:  2-4 weeks
# Sessions:  2 to 4",OPD,1,,PBM,999312
Neuropathy Management - Peripheral Neuropathy post Chemotherapy - Mutiple site,Photo Medicine,1,PBM-206-MS,1,"Description:

Indications: Mutiple site
Frequency:   Once a week
Repeat For:  2-4 weeks
# Sessions:  2 to 4",OPD,1,,PBM,999312
Radiation-Induced Dermatitis - 1 Site - Mild - no epithelial break,Photo Medicine,1,PBM-207-1S-1,1,"Description:

Indications: Mild - no epithelial break
Frequency:   Daily
Repeat For:  4 days
# Sessions:  4",OPD,1,,PBM,999312
Radiation-Induced Dermatitis - 1 Site - moderate - few areas of epithelial break,Photo Medicine,1,PBM-207-1S-2,1,"Description:

Indications: moderate - few areas of epithelial break
Frequency:   Daily
Repeat For:  8 days
# Sessions:  8",OPD,1,,PBM,999312
Radiation-Induced Dermatitis - 1 Site - Severe - with ulceration,Photo Medicine,1,PBM-207-1S-3,1,"Description:

Indications: Severe - with ulceration
Frequency:   Daily
Repeat For:  12 days
# Sessions:  12",OPD,1,,PBM,999312
Radiation-Induced Dermatitis - 2 Sites - Mild - no epithelial break,Photo Medicine,1,PBM-207-2S-1,1,"Description:

Indications: Mild - no epithelial break
Frequency:   Daily
Repeat For:  4 days
# Sessions:  4",OPD,1,,PBM,999312
Radiation-Induced Dermatitis - 2 Sites - moderate - few ares of epithelial break,Photo Medicine,1,PBM-207-2S-2,1,"Description:

Indications: moderate - few ares of epithelial break
Frequency:   Daily
Repeat For:  8 days
# Sessions:  8",OPD,1,,PBM,999312
Radiation-Induced Dermatitis - 2 Sites - Severe - with ulceration,Photo Medicine,1,PBM-207-2S-3,1,"Description:

Indications: Severe - with ulceration
Frequency:   Daily
Repeat For:  12 days
# Sessions:  12",OPD,1,,PBM,999312
Radiation-Induced Dermatitis - Multiple Sites - Mild - no epithelial break,Photo Medicine,1,PBM-207-MS-1,1,"Description:

Indications: Mild - no epithelial break
Frequency:   Daily
Repeat For:  4 days
# Sessions:  4",OPD,1,,PBM,999312
Radiation-Induced Dermatitis - Multiple Sites - moderate - few ares of epithelial break,Photo Medicine,1,PBM-207-MS-2,1,"Description:

Indications: moderate - few ares of epithelial break
Frequency:   Daily
Repeat For:  8 days
# Sessions:  8",OPD,1,,PBM,999312
